City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mili,6.0815,171.735,28.32,82,100,7.46,MH,1713914445
1,weno,7.4515,151.8468,30.97,79,100,3.6,FM,1713914122
2,isafjordur,66.0755,-23.124,5.39,82,61,0.56,IS,1713914135
3,bethel,41.3712,-73.414,12.65,45,0,4.12,US,1713914140
4,west island,-12.1568,96.8225,27.99,83,75,6.69,CC,1713914182
5,puerto ayora,-0.7393,-90.3518,25.86,93,99,0.89,EC,1713914130
6,salinas,36.6777,-121.6555,19.99,58,20,7.72,US,1713914447
7,waitangi,-43.9535,-176.5597,15.46,85,78,4.92,NZ,1713914137
8,la sarre,48.8002,-79.1996,-4.14,89,100,6.89,CA,1713914448
9,wanning,18.8003,110.3967,26.33,93,25,3.67,CN,1713914448
10,port mathurin,-19.6833,63.4167,26.98,76,25,6.99,MU,1713914182
11,adamstown,-25.066,-130.1015,23.0,85,100,8.87,PN,1713914047
12,tolanaro,-25.0319,46.9987,22.45,91,100,3.28,MG,1713914109
13,posto fiscal rolim de moura,-13.0833,-62.2667,26.18,86,81,0.92,BR,1713914449
14,haiku-pauwela,20.9219,-156.3051,26.76,63,20,10.8,US,1713914328
15,rawson,-43.3002,-65.1023,10.3,53,10,7.01,AR,1713914450
16,georgetown,5.4112,100.3354,27.96,94,40,1.03,MY,1713914151
17,san andres,12.5847,-81.7006,31.01,62,20,5.66,CO,1713914307
18,grytviken,-54.2811,-36.5092,-2.27,75,50,14.52,GS,1713914133
19,hawaiian paradise park,19.5933,-154.9731,25.73,79,40,5.66,US,1713914198
20,dryden,49.7833,-92.7503,4.16,33,0,4.12,CA,1713914221
21,karis,60.0718,23.6616,2.01,83,100,3.05,FI,1713914451
22,gulu,2.7746,32.299,19.24,97,96,1.84,UG,1713914301
23,puerto san jose,13.9256,-90.8244,30.53,64,84,3.83,GT,1713914177
24,bilibino,68.0546,166.4372,-14.6,78,33,1.78,RU,1713914145
25,kingston,17.997,-76.7936,28.53,79,20,2.06,JM,1713914195
26,lichinga,-13.3128,35.2406,15.92,94,95,1.82,MZ,1713914452
27,port-aux-francais,-49.35,70.2167,4.33,69,45,16.28,TF,1713914124
28,guayanilla,18.0191,-66.7918,28.26,80,83,0.89,PR,1713914453
29,novyy urengoy,66.0833,76.6333,-16.24,96,52,4.78,RU,1713914453
30,mariehamn,60.0973,19.9348,2.12,87,0,3.09,AX,1713914454
31,aadorf,47.492,8.901,3.27,89,100,0.89,CH,1713914454
32,margaret river,-33.95,115.0667,10.17,76,3,5.37,AU,1713914143
33,fisterra,42.9049,-9.2629,11.53,84,41,6.91,ES,1713914313
34,zag,46.9441,99.165,-0.89,60,5,2.36,MN,1713914455
35,berezovyy,51.6667,135.7,9.69,75,100,0.83,RU,1713914455
36,hami,42.8,93.45,15.98,25,10,1.86,CN,1713914456
37,fale old settlement,-9.3852,-171.2468,29.76,73,12,4.37,TK,1713914246
